user_id,manager_id
1,1
2,2
3,3
4,2
5,1
6,4
7,1
8,1
9,5
10,3
11,2
12,6
13,7
14,4
15,7
16,8
17,4
18,7
19,3
16,1
17,9
20,9
21,6
18,9
22,6
23,7
24,2
25,1
26,2
27,9
28,1
29,8
30,8
31,5
32,8
33,7
4,4
34,8
35,9
36,7
37,3
38,8
39,3
40,4
41,8
42,9
43,8
38,2
44,3
45,4
46,7
4,2
47,7
48,9
15,6
49,1
50,9
51,10
52,4
53,7
26,10
27,3
54,8
55,8
56,4
57,5
22,5
58,9
59,10
60,4
61,4
62,9
63,2
64,7
65,9
66,7
67,4
68,5
69,10
70,2
71,1
20,2
72,5
22,10
73,9
74,4
75,5
76,2
77,2
32,4
78,5
79,7
80,8
81,4
82,2
83,5
84,6
85,10
86,5
87,2
